SN 1997br 4   13 20 45.81 -22 01 51.1 19.227 0.038              0.873 0.016  0.432 0.065  0.898 0.257 3
SN 1997br 5   13 20 45.67 -22 02 22.2 18.330 0.011              1.552 0.028  1.191 0.007  2.613 0.014 3
SN 1997br 6   13 20 46.75 -22 02 34.9 17.407 0.023  0.423 0.163 0.860 0.011  0.508 0.029  0.974 0.012 3
SN 1997br 7   13 20 50.08 -22 01 59.1 15.483 0.016  0.655 0.051 0.956 0.015  0.544 0.007  1.022 0.009 3
SN 1997br 8   13 20 52.84 -22 02 27.9 16.966 0.011              1.168 0.016  0.713 0.013  1.315 0.023 3
SN 1997br 9   13 20 53.35 -22 02 49.2 15.608 0.015  0.371 0.059 0.903 0.012  0.521 0.011  1.013 0.019 3
SN 1997br 10  13 20 46.92 -22 02 45.2                           0.775 0.197  0.441 0.043  1.086 0.102 3
SN 1997br 11  13 20 46.75 -22 03 01.9 17.709 0.014              1.111 0.014  0.702 0.028  1.316 0.012 3
SN 1997br 12  13 20 49.68 -22 03 06.7 19.166 0.035              1.062 0.027  0.587 0.046  1.249 0.073 3
SN 1997br 13  13 20 50.22 -22 03 58.2 16.404 0.018  0.006 0.043 0.734 0.013  0.402 0.008  0.776 0.018 3
SN 1997br 14  13 20 47.32 -22 04 15.8 15.600 0.021 -0.053 0.046 0.634 0.012  0.380 0.008  0.755 0.009 3
SN 1997br 15  13 20 45.89 -22 03 53.5 15.908 0.019  0.031 0.083 0.697 0.012  0.427 0.007  0.844 0.011 3
SN 1997br 16  13 20 41.71 -22 03 38.8 17.519 0.023              0.879 0.017  0.514 0.007  0.983 0.018 3
SN 1997br 17  13 20 39.75 -22 02 54.3 19.337 0.197              1.283 0.165  0.884 0.014  1.784 0.072 3
SN 1997cn 1   14 09 59.56 +17 35 18.1 17.456 0.014  1.269 0.166 1.322 0.024  0.817 0.012  1.562 0.013 3
SN 1997cn 2   14 10 09.47 +17 33 38.0 16.137 0.011  0.153 0.049 0.726 0.015  0.407 0.009  0.813 0.013 3
SN 1997cn 3   14 10 09.00 +17 30 57.3 17.694 0.012  0.622 0.105 0.876 0.013  0.512 0.009  0.988 0.017 3
SN 1997cn 4   14 10 07.12 +17 30 00.0 16.150 0.011  0.128 0.058 0.677 0.013  0.375 0.008  0.753 0.016 3
SN 1997cn 5   14 10 03.12 +17 30 03.5 15.966 0.011  0.059 0.045 0.653 0.013  0.377 0.008  0.753 0.011 3
SN 1997cn 6   14 09 58.30 +17 30 22.4 17.694 0.018  0.436 0.088 0.798 0.014  0.447 0.019  0.885 0.010 3
SN 1997cn 7   14 09 42.17 +17 28 41.7 16.683 0.016  1.135 0.124 1.111 0.011  0.664 0.015  1.230 0.033 3
SN 1997cn 8   14 09 43.14 +17 29 19.9 16.975 0.012  1.080 0.138 1.448 0.017  0.915 0.009  1.804 0.023 3
