SN 1997bq 2450600.72 17.968 0.045 17.575 0.017 16.422 0.011 16.030 0.015 15.834 0.015 AndyCam/SAO
SN 1997bq 2450609.66 18.047 0.054 17.679 0.021 16.636 0.011 16.355 0.016 16.237 0.016 AndyCam/SAO
SN 1997br 2450551.84 13.713 0.045 14.397 0.016 14.154 0.008 13.983 0.011 13.922 0.011 AndyCam/SAO
SN 1997br 2450552.83 13.695 0.053 14.317 0.028 14.078 0.016 13.847 0.023 13.811 0.021 AndyCam/SAO
SN 1997br 2450567.79 14.278 0.043 14.371 0.015 13.800 0.009 13.637 0.013 13.759 0.012 AndyCam/SAO
SN 1997br 2450569.79 14.537 0.042 14.574 0.014 13.855 0.008 13.717 0.012 13.825 0.012 AndyCam/SAO
SN 1997br 2450571.81 14.826 0.037 14.811 0.016 13.936 0.010 13.849 0.013 13.833 0.015 AndyCam/SAO
SN 1997br 2450573.75 15.205 0.039 15.060 0.015 14.080 0.009 13.890 0.012 13.838 0.014 AndyCam/SAO
SN 1997br 2450575.76 15.532 0.041 15.315 0.014 14.208 0.008 13.985 0.012 13.828 0.014 AndyCam/SAO
SN 1997br 2450578.73 15.988 0.040 15.672 0.019 14.416 0.013 14.048 0.017 13.789 0.017 AndyCam/SAO
SN 1997br 2450582.80 16.381 0.056 16.002 0.021 14.609 0.012 14.162 0.017 13.875 0.017 AndyCam/SAO
SN 1997br 2450597.75 17.156 0.046 16.810 0.017 15.331 0.009 14.825 0.012 14.350 0.014 AndyCam/SAO
SN 1997br 2450607.75 17.334 0.046 17.009 0.017 15.701 0.009 15.262 0.013 14.915 0.013 AndyCam/SAO
SN 1997cn 2450597.76 18.897 0.068 18.523 0.027 17.216 0.014 16.708 0.019 16.465 0.019 AndyCam/SAO
SN 1997cn 2450598.83 18.915 0.068 18.653 0.029 17.291 0.012 16.761 0.016 16.428 0.016 AndyCam/SAO
SN 1997cn 2450599.71 -      -     18.780 0.048 -      -     -      -     -      -     AndyCam/SAO
SN 1997cn 2450600.75 19.119 0.060 18.858 0.026 17.497 0.014 16.948 0.019 16.563 0.021 AndyCam/SAO
SN 1997cn 2450602.73 19.471 0.099 19.081 0.038 17.694 0.016 17.160 0.022 16.724 0.022 AndyCam/SAO
SN 1997cn 2450604.82 19.440 0.076 19.290 0.037 17.911 0.020 17.402 0.028 16.941 0.031 AndyCam/SAO
SN 1997cn 2450605.88 19.422 0.099 -      -     -      -     17.487 0.041 17.078 0.039 AndyCam/SAO
SN 1997cn 2450607.77 19.559 0.080 -      -     18.062 0.014 17.623 0.018 17.191 0.021 AndyCam/SAO
SN 1997cn 2450608.70 19.493 0.072 19.421 0.045 -      -     17.710 0.039 17.265 0.039 AndyCam/SAO
SN 1997cn 2450609.67 19.643 0.065 19.454 0.030 18.189 0.020 17.746 0.026 17.286 0.027 AndyCam/SAO
SN 1997cn 2450610.79 19.679 0.106 19.595 0.053 18.238 0.023 17.810 0.030 17.391 0.031 AndyCam/SAO
SN 1997cn 2450611.82 19.632 0.101 -      -     18.301 0.019 17.837 0.025 17.447 0.029 AndyCam/SAO
SN 1997cn 2450627.67 -      -     20.076 0.051 18.911 0.020 18.616 0.031 18.345 0.029 AndyCam/SAO
SN 1997cn 2450640.75 -      -     -      -     19.238 0.034 19.135 0.052 18.932 0.063 AndyCam/SAO
SN 1997cw 2450642.94 17.041 0.039 16.892 0.016 16.146 0.008 15.948 0.011 16.109 0.014 AndyCam/SAO
SN 1997cw 2450643.88 17.227 0.038 17.024 0.015 16.184 0.009 16.002 0.012 16.155 0.013 AndyCam/SAO
SN 1997cw 2450644.85 17.319 0.056 17.096 0.027 16.222 0.015 16.079 0.020 16.189 0.024 AndyCam/SAO
SN 1997cw 2450645.98 17.469 0.048 17.213 0.020 16.341 0.010 16.132 0.014 16.197 0.020 AndyCam/SAO
SN 1997cw 2450646.98 17.594 0.059 17.282 0.019 16.359 0.009 16.199 0.012 16.182 0.013 AndyCam/SAO
SN 1997cw 2450647.98 17.804 0.076 17.424 0.045 16.429 0.008 16.215 0.014 16.167 0.013 AndyCam/SAO
SN 1997cw 2450652.92 18.453 0.119 17.971 0.046 16.643 0.018 16.268 0.024 16.113 0.027 AndyCam/SAO
SN 1997cw 2450653.94 18.484 0.079 18.145 0.028 16.707 0.018 16.290 0.025 16.038 0.025 AndyCam/SAO
SN 1997cw 2450665.99 19.368 0.116 18.808 0.033 17.227 0.013 16.619 0.019 16.196 0.018 AndyCam/SAO
SN 1997cw 2450673.99 19.612 0.187 19.229 0.050 17.612 0.021 17.044 0.027 16.627 0.027 AndyCam/SAO
SN 1997cw 2450680.99 -      -     19.258 0.097 17.920 0.058 17.427 0.075 16.956 0.073 AndyCam/SAO
SN 1997cw 2450682.97 -      -     19.293 0.094 17.983 0.057 17.469 0.072 17.194 0.070 AndyCam/SAO
SN 1997cw 2450685.97 -      -     19.379 0.051 18.075 0.030 17.545 0.042 17.299 0.040 AndyCam/SAO
SN 1997cw 2450688.00 -      -     19.329 0.051 18.138 0.037 17.655 0.047 17.444 0.047 AndyCam/SAO
SN 1997cw 2450693.79 -      -     19.499 0.036 18.260 0.021 17.828 0.028 17.769 0.040 AndyCam/SAO
SN 1997cw 2450783.74 -      -     21.126 0.092 20.068 0.051 20.421 0.093 -      -     AndyCam/SAO
SN 1997cw 2450810.62 -      -     -      -     20.472 0.086 20.690 0.160 -      -     AndyCam/SAO
SN 1997dg 2450720.90 16.806 0.047 17.186 0.027 17.095 0.018 16.921 0.024 17.141 0.026 AndyCam/SAO
SN 1997dg 2450722.74 16.919 0.044 17.178 0.021 17.098 0.014 16.927 0.019 17.231 0.023 AndyCam/SAO
SN 1997dg 2450726.83 17.405 0.044 17.364 0.022 17.230 0.013 17.078 0.019 17.392 0.022 AndyCam/SAO
SN 1997dg 2450730.65 17.958 0.049 17.745 0.022 17.387 0.012 17.344 0.017 17.714 0.024 AndyCam/SAO
SN 1997dg 2450747.71 -      -     19.612 0.132 18.416 0.029 17.910 0.038 17.587 0.039 AndyCam/SAO
